external_id,source,name,category,equipment_json,primary_muscles_json,secondary_muscles_json,gif_rel_path,axes_json
pM07UxU,ExerciseDB,kipping muscle up,back,"[""bodyweight""]","[""latissimus_dorsi""]","[""biceps"",""triceps"",""shoulders"",""abdominals""]",gif/pM07UxU.gif,"{""category"":""back"",""equipment"":[""bodyweight""],""muscles"":[""latissimus_dorsi""],""unilateral"":false,""load_type"":""bodyweight"",""movement_pattern"":""other"",""engine_key"":""back_other_bodyweight""}"
rWoBmi5,ExerciseDB,korean dips,chest,"[""bodyweight""]","[""pectorals""]","[""triceps"",""shoulders""]",gif/rWoBmi5.gif,"{""category"":""chest"",""equipment"":[""bodyweight""],""muscles"":[""pectorals""],""unilateral"":false,""load_type"":""bodyweight"",""movement_pattern"":""other"",""engine_key"":""chest_other_bodyweight""}"
oHsrypV,ExerciseDB,lever seated hip adduction,legs_upper,"[""machine""]","[""adductors""]","[""hamstrings"",""gluteus""]",gif/oHsrypV.gif,"{""category"":""legs_upper"",""equipment"":[""machine""],""muscles"":[""adductors""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""other"",""engine_key"":""legs_upper_other_external""}"
i6LWjok,ExerciseDB,barbell pullover,back,"[""barbell""]","[""latissimus_dorsi""]","[""chest"",""triceps""]",gif/i6LWjok.gif,"{""category"":""back"",""equipment"":[""barbell""],""muscles"":[""latissimus_dorsi""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""pull"",""engine_key"":""back_pull_external""}"
H1XAdpk,ExerciseDB,dumbbell biceps curl v sit on bosu ball,arms_upper,"[""dumbbell""]","[""biceps""]","[""forearms"",""shoulders""]",gif/H1XAdpk.gif,"{""category"":""arms_upper"",""equipment"":[""dumbbell""],""muscles"":[""biceps""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""isolation"",""engine_key"":""arms_upper_isolation_external""}"
9XjtHvS,ExerciseDB,dumbbell pullover,chest,"[""dumbbell""]","[""pectorals""]","[""latissimus_dorsi"",""triceps""]",gif/9XjtHvS.gif,"{""category"":""chest"",""equipment"":[""dumbbell""],""muscles"":[""pectorals""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""pull"",""engine_key"":""chest_pull_external""}"
D5yqP2p,ExerciseDB,lever overhand triceps dip,arms_upper,"[""machine""]","[""triceps""]","[""chest"",""shoulders""]",gif/D5yqP2p.gif,"{""category"":""arms_upper"",""equipment"":[""machine""],""muscles"":[""triceps""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""other"",""engine_key"":""arms_upper_other_external""}"
YZ4961r,ExerciseDB,full planche,core,"[""bodyweight""]","[""abdominals""]","[""shoulders"",""chest"",""triceps""]",gif/YZ4961r.gif,"{""category"":""core"",""equipment"":[""bodyweight""],""muscles"":[""abdominals""],""unilateral"":false,""load_type"":""bodyweight"",""movement_pattern"":""other"",""engine_key"":""core_other_bodyweight""}"
SLKj2pX,ExerciseDB,cocoons,core,"[""bodyweight""]","[""abdominals""]","[""hip_flexors"",""lower_back""]",gif/SLKj2pX.gif,"{""category"":""core"",""equipment"":[""bodyweight""],""muscles"":[""abdominals""],""unilateral"":false,""load_type"":""bodyweight"",""movement_pattern"":""other"",""engine_key"":""core_other_bodyweight""}"
jTkSc6o,ExerciseDB,side hip (on parallel bars),core,"[""bodyweight""]","[""abdominals""]","[""obliques"",""hip_flexors""]",gif/jTkSc6o.gif,"{""category"":""core"",""equipment"":[""bodyweight""],""muscles"":[""abdominals""],""unilateral"":false,""load_type"":""bodyweight"",""movement_pattern"":""other"",""engine_key"":""core_other_bodyweight""}"
XhfS1DZ,ExerciseDB,peroneals stretch,legs_lower,"[""rope""]","[""gastrocnemius""]","[""ankles"",""feet""]",gif/XhfS1DZ.gif,"{""category"":""legs_lower"",""equipment"":[""rope""],""muscles"":[""gastrocnemius""],""unilateral"":true,""load_type"":""external"",""movement_pattern"":""other"",""engine_key"":""legs_lower_other_external""}"
BReCuOn,ExerciseDB,bodyweight squatting row (with towel),back,"[""bodyweight""]","[""upper_back""]","[""biceps"",""shoulders""]",gif/BReCuOn.gif,"{""category"":""back"",""equipment"":[""bodyweight""],""muscles"":[""upper_back""],""unilateral"":false,""load_type"":""bodyweight"",""movement_pattern"":""pull"",""engine_key"":""back_pull_bodyweight""}"
XVzF3iZ,ExerciseDB,dumbbell lying supine biceps curl,arms_upper,"[""dumbbell""]","[""biceps""]","[""forearms""]",gif/XVzF3iZ.gif,"{""category"":""arms_upper"",""equipment"":[""dumbbell""],""muscles"":[""biceps""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""isolation"",""engine_key"":""arms_upper_isolation_external""}"
qaZVsGk,ExerciseDB,alternate heel touchers,core,"[""bodyweight""]","[""abdominals""]","[""obliques""]",gif/qaZVsGk.gif,"{""category"":""core"",""equipment"":[""bodyweight""],""muscles"":[""abdominals""],""unilateral"":false,""load_type"":""bodyweight"",""movement_pattern"":""other"",""engine_key"":""core_other_bodyweight""}"
XgWyAiA,ExerciseDB,chest dip (on dip-pull-up cage),chest,"[""bodyweight""]","[""pectorals""]","[""triceps"",""shoulders""]",gif/XgWyAiA.gif,"{""category"":""chest"",""equipment"":[""bodyweight""],""muscles"":[""pectorals""],""unilateral"":false,""load_type"":""bodyweight"",""movement_pattern"":""pull"",""engine_key"":""chest_pull_bodyweight""}"
